11781,	964.9818699359894,	25.0,	25.0,	63.125,	225
23643,	1436.2463083267212,	112.5,	200.0,	87.5,	475
37109,	1992.954526424408,	125.0,	125.0,	149.375,	475
50404,	2530.5297207832336,	137.5,	150.0,	155.625,	575
64648,	3167.9527616500854,	312.5,	475.0,	191.875,	625
78679,	3736.365429878235,	400.0,	400.0,	184.375,	625
91853,	4268.800769329071,	112.5,	125.0,	151.25,	500
106897,	4880.19900393486,	475.0,	525.0,	243.75,	625
122467,	5511.087336063385,	175.0,	175.0,	186.25,	550
138339,	6127.758538484573,	100.0,	100.0,	283.75,	925
155599,	6802.325536251068,	437.5,	450.0,	246.25,	1075
174324,	7688.653975725174,	475.0,	475.0,	244.375,	1000
191226,	8363.360832452774,	437.5,	475.0,	212.5,	525
208998,	9050.285390138626,	500.0,	525.0,	318.75,	1050
228377,	9908.092514038086,	450.0,	450.0,	368.75,	975
247491,	10770.87805056572,	650.0,	950.0,	286.25,	975
264088,	11448.088347673416,	425.0,	425.0,	280.0,	650
281039,	12179.804901361465,	487.5,	525.0,	310.625,	750
298378,	12871.140155553818,	362.5,	475.0,	329.375,	650
316571,	13493.476905107498,	200.0,	225.0,	320.625,	600
334687,	14145.67854642868,	562.5,	575.0,	342.5,	1050
351911,	14707.963484287262,	550.0,	550.0,	303.125,	600
369392,	15314.044248580933,	550.0,	550.0,	311.25,	725
389759,	16023.294166326523,	337.5,	500.0,	326.875,	800
407378,	16713.898222208023,	262.5,	400.0,	256.875,	675
423111,	17202.83762574196,	350.0,	550.0,	196.25,	600
438434,	17734.42632484436,	600.0,	600.0,	212.5,	875
454471,	18270.29456305504,	337.5,	550.0,	249.375,	550
473950,	18908.098170280457,	575.0,	600.0,	358.125,	850
492261,	19504.19342327118,	325.0,	425.0,	386.25,	650
511242,	20158.48654961586,	550.0,	550.0,	345.625,	1050
529431,	20773.68588423729,	512.5,	550.0,	382.5,	625
546854,	21432.408017635345,	500.0,	500.0,	336.875,	1100
564504,	22120.80127763748,	237.5,	250.0,	349.375,	1025
583943,	22772.581838607788,	475.0,	550.0,	359.375,	875
600011,	23296.46301794052,	262.5,	275.0,	295.0,	625
617499,	23923.718479156494,	187.5,	200.0,	269.375,	700
633959,	24428.669989585876,	200.0,	200.0,	315.0,	750
650548,	24988.15644812584,	475.0,	700.0,	266.25,	575
667013,	25565.56039071083,	575.0,	575.0,	290.625,	650
682282,	26065.18983387947,	575.0,	575.0,	253.125,	625
699163,	26615.07093143463,	550.0,	575.0,	376.875,	650
716653,	27275.911589860916,	375.0,	600.0,	340.625,	650
733591,	27829.501094579697,	437.5,	550.0,	375.0,	650
752093,	28507.267778873444,	550.0,	550.0,	435.625,	975
769102,	29035.10232901573,	512.5,	550.0,	411.25,	600
784724,	29570.592515945435,	562.5,	575.0,	321.25,	675
799812,	30082.932262420654,	600.0,	600.0,	261.25,	625
815869,	30624.947465896606,	575.0,	575.0,	393.75,	975
832632,	31185.99524140358,	550.0,	550.0,	376.25,	800
847272,	31650.385590553284,	525.0,	525.0,	340.0,	600
